# name                          type            pp      puissance   precision   taux_crit   priorite    specialités
# Valeurs normales :            normal          -       -           100         1           0           None
Ailes_d'Acier                   acier           25      70          90          1           0           None
Griffe_Acier                    acier           35      50          95          1           0           None
Queue_de_Fer                    acier           15      100         75          1           0           None
Gyroballe                       acier           5       r:1-150     100         1           0           None
Luminocanon                     acier           10      80          100         1           0           None
Pisto-Poing                     acier           30      40          100         1           1           None
Tete_de_Fer                     acier           15      80          100         1           0           None
Lancecrou                       acier           15      50          85          1           0           None
Choc_Meteore                    acier           5       100         100         1           0           None
Estocorne                       acier           10      70          200         1           0           None
Metalaser                       acier           5       140         95          1           0           None
Balayage                        combat          20      50          100         1           0           None
Double_Pied                     combat          30      30          100         1           0           None
Pied_Voltige                    combat          10      130         90          1           0           None
Poing_Karate                    combat          25      50          100         2           0           None
Riposte                         combat          20      60          100         1           -5          None
Coup_Croix                      combat          5       100         80          2           0           None
Detection                       combat          5       0           d:100-25    1           4           taken_dmg:0
Dynamo-Poing                    combat          5       100         50          1           0           None
Eclate-Roc                      combat          15      40          100         1           0           None
Casse-Brique                    combat          15      75          100         1           0           None
Stratopercut                    combat          15      85          90          1           0           None
Vendetta                        combat          10      60          100         1           -4          None
Aurasphere                      combat          20      80          200         1           0           None
Close_Combat                    combat          5       120         100         1           0           None
Exploforce                      combat          5       120         70          1           0           None
Marto-Poing                     combat          10      100         90          1           0           None
Vampi-Poing                     combat          10      75          100         1           0           heal_on_atk:0.5*dmg
Balayette                       combat          20      65          100         1           0           None
Lame_Sainte                     combat          15      90          100         1           0           None
Poing_Boost                     combat          20      40          100         1           0           None
Draco-Rage                      dragon          10      c:40        100         1           0           None
Colere                          dragon          10      120         100         1           0           None
Draco-Souffle                   dragon          20      60          100         1           0           None
Draco-Griffe                    dragon          15      80          100         1           0           None
Draco-Choc                      dragon          10      85          100         1           0           None
Draco-Meteore                   dragon          5       130         90          1           0           None
Double_Baffe                    dragon          15      40          90          1           0           None
Draco-Queue                     dragon          10      60          90          1           -6          None
Sanction_Supreme                dragon          10      100         100         1           0           None
Vibrécaille                     dragon          5       110         100         1           0           None
Abattage                        dragon          15      60          100         1           0           None
Trempette                       eau             50      10          30          1           0           None
Bulles_d'O                      eau             20      65          100         1           0           None
Cascade                         eau             15      80          100         1           0           None
Ecume                           eau             30      40          100         1           0           None
Hydrocanon                      eau             5       110         80          1           0           None
