# name              spawn_d     categorie       Fonctionnement  achat       revente         Description
# Valeurs exemple   1:rarety:q  Objets          Use/Give        1:10000     1:1500
#
Poke_Ball           1:60:2-10   Balls           Throw           1:800       1:800           Une BALL pouvant capturer un Pokemon sauvage. Utilisable: Spawn.
Velo                0:0:0-0     Objets_rares    Enable          1:10000     0               Velo permettant de faire 1 action supplementaire chaque tour. Activable: Clic droit.
Pokeflute           0:0:0-0     Objets_rares    Enable          1:50000     0               Flute divine permettant de faire 1 action supplementaire chaque tour. Activable: Clic droit.
Guerison            1:50:1-2    Medecine        Use:s:All       1:3000      1:1500          Soigne tout changement de status d'un pokemon. Utilisable: Cliquer-Glisser dans Equipe.
Potion              1:25:1-3    Médecine        Use:h:30        1:500       1:150           Restaure 30 PV perdus au combat. Utilisable: Cliquer-Glisser dans Equipe.
Hyper_Potion        1:60:1-1    Medecine        Use:h:120       1:3000      1:750           Restaure 120 PV perdus au combat. Utilisable: Cliquer-Glisser dans Equipe.
Potion_Max          1:60:1-1    Medecine        Use:h:10000     1:4500      1:1250          Restaure totalement les PV perdus au combat. Utilisable: Cliquer-Glisser dans Equipe.
PV_Plus             1:50:1-2    Medecine        Use:b:pv        1:7500      1:5000          Augmente les PVmax du pokemon de 1 pv + 5% des pv totaux actuels. Utilisable: Cliquer-Glisser dans Equipe.
Proteine            1:50:1-2    Medecine        Use:b:atk       1:7500      1:5000          Augmente la stat d'attack du pokemon de 5. Utilisable: Cliquer-Glisser dans Equipe.
Fer                 1:50:1-2    Medecine        Use:b:def       1:7500      1:5000          Augmente la stat de defense du pokemon de 5. Utilisable: Cliquer-Glisser dans Equipe.
Carbone             1:50:1-2    Medecine        Use:b:vit       1:7500      1:5000          Augmente la stat de vitesse du pokemon de 5. Utilisable: Cliquer-Glisser dans Equipe.
Super_Bonbon        1:20:1-2    Medecine        Use:l:1         0           1:5000          Augmente le niveau du pokemon de 1. Utilisable: Cliquer-Glisser dans Equipe.
Eau_Fraiche         1:30:1-1    Medecine        Use:h:50        1:700       1:350           Restaure 50 PV perdus au combat. Utilisable: Cliquer-Glisser dans Equipe.
Baie_Oran           1:25:1-1    Baie            Give:h:20-50%   0           0               Tenu par un pokemon, elle lui restaure 20 pv au combat quand il passe sous 50% hp. A tenir: Cliquer-Glisser dans Equipe
Baie_Sitrus         1:25:1-1    Baie            Give:h:50-30%   0           0               Tenu par un pokemon, elle lui restaure 50 pv au combat quand il passe sous 30% hp. A tenir: Cliquer-Glisser dans Equipe
Mouchoir_Soie       1:35:1-1    Objets          Give:p:normal   1:3000      1:750           Augmente la puissance des attaques de type NORMAL de 20%. A tenir: Cliquer-Glisser dans Equipe
Bec_Pointu          1:35:1-1    Objets          Give:p:vol      1:3000      1:750           Augmente la puissance des attaques de type VOL de 20%. A tenir: Cliquer-Glisser dans Equipe
Pic_Venin           1:35:1-1    Objets          Give:p:poison   1:3000      1:750           Augmente la puissance des attaques de type POISON de 20%. A tenir: Cliquer-Glisser dans Equipe
Glace_Eternelle     1:35:1-1    Objets          Give:p:glace    1:3000      1:750           Augmente la puissance des attaques de type GLACE de 20%. A tenir: Cliquer-Glisser dans Equipe
Croc_Dragon         1:30:1-1    Objets          Give:p:dragon   1:3000      1:750           Augmente la puissance des attaques de type DRAGON de 20%. A tenir: Cliquer-Glisser dans Equipe
